"R_0","R_hsb","R_s","R_q","Abs_Benefit","Rel_Benefit","NNQ","obs_to_iso_q","Abs_Benefit_per_Qday","ks","Rel_Benefit_per_Qday","Rel_Benefit_per_Qday_rp","NQD","T_lat_offset","d_inf","pi_t_triangle_center","gamma","prob_CT","CT_delay","epsilon","riskprofile","R_0_mean","dispersion","T_inc_stretch","Abs_Benefit_per_Qday_rp","Impact_SM","Impact_Q","Impact_HSB"
1.96833333333333,1.122,1.53266666666667,1.20066666666667,0.332,0.216615919965202,3.01204819277109,0.427790349566594,0.776081088169376,0.367943500582802,0.506359996630737,0.360997206871568,1.28852514929697,0.356603296226763,3.03483810472471,0.264429209228485,0.767255722463794,0.592287775878871,2.18097718133824,2.02643445374449,0.736866016393365,1.96366930938587,1.87398671383625,1.23062020548959,0.553288385731824,0.435666666666667,0.767666666666666,0.846333333333333
2.81166666666667,2.21333333333333,2.46333333333333,1.74333333333333,0.72,0.292286874154263,1.38888888888889,0.216114132780799,3.33157295515829,0.118341204084319,1.35246534038902,0.25389523147973,0.30015851775111,-0.632770747899217,2.59968586841103,0.776896005226103,0.696466022480524,0.690844205972121,1.3958264705583,2.84097975709946,0.348180988370238,2.66417181138061,1.92427673263322,1.12651402402795,0.625428586878401,0.348333333333333,1.06833333333333,0.598333333333333
2.49166666666667,1.34266666666667,2.245,2.16166666666667,0.0833333333333335,0.0371195248700817,12,0.249523746234273,0.333969550357318,0.261468042782205,0.148761492364061,0.0911971071469269,2.99428495481127,-0.0120855485489873,3.68777987666775,1,0.712176463934526,0.329279075573691,1.68815864137486,3.63725406313958,0.663961415462284,2.59919422118776,2.75389156877832,0.790913240084657,0.204737505544851,0.246666666666667,0.33,1.149
2.78833333333333,2.475,2.77833333333333,2.77,0.0083333333333333,0.00299940011997599,120,0.0209677450215059,0.397435838941484,0.364416771116194,0.143048292360462,0.111398479030628,2.51612940258071,-0.187703516755528,2,0.165277907698345,0.515249652907272,0.304904212793043,4.98984715962978,3.9818149326175,0.683671510621938,2.77190439738929,1.70880372543558,0.866008277677186,0.309502107573429,0.0100000000000002,0.0183333333333335,0.313333333333333
3.21833333333333,2.87166666666667,3.24666666666667,3.175,0.0716666666666668,0.0220739219712526,13.953488372093,0.0885235486860185,0.809577425785981,0.310627728390511,0.249356496648659,0.151870797826739,1.23521230724677,-0.645001329359013,2.51963887451557,0.0939743758149763,0.5027235369504,0.689675908776172,3.1506759246083,2.31644834759776,0.637347832707411,3.26958926164564,3.07467974004899,1.15979306670371,0.493073856944145,-0.0283333333333333,0.0433333333333334,0.346666666666667
3.13166666666667,2.90333333333333,2.92666666666667,2.81,0.116666666666667,0.0398633257403189,8.57142857142857,0.0128611468808765,9.0712490687857,0.572902537505943,3.09951562714773,0.875583533657724,0.110238401836084,-0.773413475160141,2.76267220331758,0.0674252549389824,0.777310616777499,0.742842778837529,2.05320756363785,5.4857725109756,0.436305637461625,3.05460214073285,3.21248539646575,0.830399461829895,2.56254114183827,0.205,0.321666666666667,0.228333333333333
2.09833333333333,1.54066666666667,1.85133333333333,1.43666666666667,0.414666666666667,0.223982715160245,2.41157556270097,0.0975082852035662,4.25263007959759,0.290002867648495,2.29706342074051,1.79291079306099,0.235148597757796,-0.381069402418967,2.14228739119868,0.926286260823393,0.670719104445364,0.736591591044476,1.7595205460065,2.38120926960343,0.697552490581539,2.05073315273803,1.70120100951409,0.761081766089983,3.31927551488691,0.247,0.661666666666666,0.557666666666667
3.995,3.11,3.81833333333333,3.67666666666667,0.141666666666667,0.0371017023134002,7.05882352941177,0.197801113664354,0.716207629179778,0.17115660995955,0.18757074531116,0.0217464602367076,1.39624315527779,-0.0428258684607319,2.18206899327938,0.887017699516347,0.377580133796932,0.71338636072584,4.35330203809836,4.2070716163523,0.244677481560506,4.02039123607483,1.9798466858502,1.02200293010697,0.0830352340038285,0.176666666666667,0.318333333333333,0.885
1.78333333333333,1.65666666666667,1.76666666666667,1.54833333333333,0.218333333333333,0.123584905660377,4.58015267175573,0.0829559393795505,2.63191924491852,0.216568856359296,1.48976561033124,1.06177046603881,0.379950867387254,-0.350557207378867,4.03075118010026,0.0883814144106083,0.279845985659554,0.695799709042084,3.11391612008852,4.0730219311513,0.674050807899483,1.72147294232342,2.07899862014703,0.885840282638743,1.8757944900019,0.0166666666666668,0.235,0.126666666666667
2.225,1.57833333333333,1.995,1.86333333333333,0.131666666666667,0.065998329156224,7.59493670886075,0.156900977320498,0.839170468630762,0.135836581637986,0.420636826381335,0.0671586453336892,1.19165299230758,-0.217949637085865,2.72900380530464,0.478303544179475,0.479374612810549,0.420373638932408,4.05243584930948,1.83174633541275,0.308948295604295,2.12582372860052,3.07830583967036,1.22524740873747,0.13398149744071,0.23,0.361666666666667,0.646666666666667
2.885,1.49066666666667,3.15333333333333,2.565,0.588333333333333,0.186575052854123,1.69971671388102,0.0611945894535861,9.61413972357088,0.267874806508383,3.04888151910282,1.92940419101224,0.104013466493347,0.224623925398267,3.57105308626844,0.641338788422666,0.818842682079547,0.756490984047227,4.96559824279351,4.85656647175686,0.642500399404549,3.11466707054097,2.78101936292662,0.87690833105091,6.08405454899193,-0.268333333333334,0.32,1.39433333333333
