"R_0","R_hsb","R_s","R_q","Abs_Benefit","Rel_Benefit","NNQ","obs_to_iso_q","Abs_Benefit_per_Qday","ks","Rel_Benefit_per_Qday","Rel_Benefit_per_Qday_rp","NQD","T_lat_offset","d_inf","pi_t_triangle_center","gamma","prob_CT","CT_delay","epsilon","riskprofile","R_0_mean","dispersion","T_inc_stretch","Abs_Benefit_per_Qday_rp","Impact_SM","Impact_Q","Impact_HSB"
3.57166666666667,3.23333333333333,3.32,3.07166666666667,0.248333333333333,0.0747991967871485,4.0268456375839,8.47507868089765,0.0293015962073677,0.493137436995018,0.00882578199017098,0.000160669122002943,34.127833614353,-5.47172688068485,15.4926772069571,0.825969146688949,0.36549387864058,0.306578660949479,5.04776330831745,3.88140337013868,0.417521693322644,3.39916669395789,1.85193317746716,0.799411880642828,0.000533421485049772,0.251666666666667,0.5,0.338333333333333
3.845,4.11833333333333,3.83666666666667,3.61833333333333,0.218333333333333,0.0569070373588184,4.58015267175573,7.6431430870835,0.0285659094492559,0.711585502241713,0.00744550202847677,8.06788723619462e-05,35.0067622309168,-5.2826441143187,12.5997466488888,0.503327511482097,0.250317280407896,0.308334269761175,4.9135904833342,4.95698841976933,0.282340959099811,3.83771488965992,2.77377762763142,0.751413761884812,0.000309537940295333,0.00833333333333375,0.226666666666667,-0.273333333333333
2.055,2.185,1.955,1.57,0.385,0.19693094629156,2.5974025974026,16.1509446836737,0.0238376149222516,0.434663678230743,0.0121931534129164,0.000316993513586724,41.9505056718797,-5.27485069187993,8.99086886103575,0.0568879707836281,0.320020958480441,0.602441405580318,2.3650068756971,1.88155641704849,0.598769569187197,2.08203084980156,2.84375684920922,0.93515405980288,0.000619722319062045,0.1,0.485,-0.13
2.05,2.06333333333333,1.89666666666667,1.71833333333333,0.178333333333333,0.0940246045694201,5.60747663551401,23.801800930093,0.00749243025169006,0.628094104110735,0.00395031471969599,0.000103036179306947,133.468042598652,-5.54220659698157,11.3136178732588,0.267677660316633,0.299563123543133,0.545567280106508,2.68250360411825,3.0559675226171,0.696109487082981,2.07925361633804,3.14324474056582,1.22987234840426,0.000195425286752177,0.153333333333333,0.331666666666667,-0.0133333333333336
3.98666666666667,3.90166666666667,4.01833333333333,3.155,0.863333333333334,0.214848610535048,1.15830115830116,15.412427075513,0.0560154042645874,0.501961441081249,0.0139399595847169,0.000205635959626487,17.8522321337989,-3.49891148006682,10.5637562688943,0.21079732476146,0.324324382080076,0.568063437392845,5.32277991857599,1.98862896863637,0.388668724794276,3.87864780795518,2.0724788106435,0.833420059615467,0.000826313831099099,-0.0316666666666667,0.831666666666667,0.085
2.16166666666667,2.09,2.04166666666667,1.60666666666667,0.435,0.213061224489796,2.29885057471264,20.740793313917,0.0209731611234039,0.409697276304368,0.010272568713504,0.00026203169941523,47.6799846296942,-4.27044216074532,6.10904453437635,0.0260113425096674,0.741860997441559,0.359595637976369,4.25127759077693,1.81212372250315,0.643319873929681,2.08831448011734,3.16593309543487,1.13328577672914,0.000534981386306095,0.12,0.555,0.0716666666666668
2.37833333333333,2.305,2.31333333333333,1.45333333333333,0.86,0.371757925072046,1.16279069767442,10.6227846506719,0.0809580565059841,0.780689564383158,0.0349962780285234,0.0015819926135252,12.3520751751999,-5.8478395837112,12.4115200261135,0.130841629781435,0.518658524542924,0.78403307112048,4.735769159838,4.96288857757356,0.743322490608985,2.33822609046325,3.1996519955893,0.779587332257302,0.00365967624595497,0.0649999999999999,0.925,0.0733333333333333
2.4,2.27833333333333,2.15333333333333,1.80333333333333,0.35,0.162538699690403,2.85714285714286,9.38289879792073,0.0373019050442664,0.550746669196589,0.0173228661196283,0.000140253928817714,26.8082822797735,-5.30310333764645,17.880905453046,0.17276900660493,0.535546095601578,0.361924427531652,2.14219391159629,1.70792245190945,0.225873216343175,2.31529074073005,1.83122098592306,0.814982408883609,0.000302013460054143,0.246666666666667,0.596666666666667,0.121666666666667
2.04166666666667,1.88833333333333,1.96166666666667,1.345,0.616666666666667,0.314358538657604,1.62162162162162,21.9454258866344,0.0281000090794429,0.294930856255037,0.0143245585791553,0.000434676779632404,35.5871771134611,-4.23074363002458,10.9674910860231,0.454303459638136,0.459348290859617,0.694738463010686,1.54742692419235,4.71488978243042,0.751538958862405,1.98052244086135,2.39320579947471,1.04585341546787,0.000852690949378899,0.0799999999999998,0.696666666666667,0.153333333333333
1.96,1.918,1.86666666666667,1.295,0.571666666666667,0.30625,1.74927113702624,8.95968492740115,0.0638043269711812,0.865489389732001,0.0341808894488471,0.00167331006064643,15.6729182403519,-6.7967242299047,5.48473807781959,0.316155614392896,0.586549875005337,0.579587458378801,5.02306206017798,2.35296394877895,0.743844427082331,1.90208566796053,3.30998635103041,0.828110821579443,0.00312351211320667,0.0933333333333333,0.665,0.042
2.815,2.978,2.80333333333333,2.245,0.558333333333333,0.199167657550535,1.7910447761194,16.9515195944717,0.0329370668052331,0.683556657251323,0.0117492509412247,0.000376200687509627,30.3609306169643,-6.279286666829,16.3521700974091,0.284850934960051,0.726409516299423,0.260571820238831,5.12157119058352,5.36660394281885,0.699876563304798,2.96328431533184,3.23482549698367,1.27013941847808,0.00105461592731865,0.0116666666666667,0.57,-0.163
