"","R_0","R_hsb","R_s","R_q","Abs_Benefit","Rel_Benefit","NNQ","obs_to_iso_q","Abs_Benefit_per_Qday","ks","d_inf","pi_t_triangle_center","T_lat_offset","dispersion","Setting","disease","Rel_Benefit_per_Qday","R0_Rs","R0_Rq"
"1",2.39859911054373,1.162,0.570327552986512,0.486352357320099,0.0839751956664133,0.147240292401583,11.9082782965156,7.75093052109181,0.010834208284786,0.062525994656275,10,0,1.02116426996605,1,"HR","Ebola",0.0189964665533916,1.82827155755722,1.91224675322363
"2",4.49804019648582,2.74333333333333,1.57133333333333,1.092,0.479333333333333,0.305048790835808,2.08623087621697,7.10441666666667,0.0674697664598313,0.0666360409456568,11.4316180205168,0.140196788059934,0.257538864448587,1,"HR","Ebola",0.0429379082264518,2.92670686315248,3.40604019648582
"3",1.66900230851024,0.774093264248705,0.378125,0.373584905660377,0.00454009433962266,0.0120068610634649,220.259740259739,7.90408805031447,0.000574398249452956,0.0575222323317733,10.4208663888205,0.0763925124698513,0.841844141002717,1,"HR","Ebola",0.00151906975061939,1.29087730851024,1.29541740284987
"4",3.86714965198189,2.02866666666667,1.084,0.880813953488372,0.203186046511628,0.187441002317,4.92159780244935,7.43031330749354,0.0273455557125314,0.0568629418377698,10.1156491259001,0.34460942317559,0.347473606935906,1,"HR","Ebola",0.0252265274100843,2.78314965198189,2.98633569849352
"5",4.03816172014922,2.30866666666667,1.33666666666667,0.769982238010657,0.566684428656009,0.423953437897264,1.76465056993303,7.40996891651865,0.0764759521990342,0.0568177334630564,10.8662212855819,0.265750238450959,0.205273566554469,1,"HR","Ebola",0.0572139293259607,2.70149505348255,3.26817948213856
"6",4.83114235009998,3.17866666666667,2.14266666666667,1.09,1.05266666666667,0.491288114499067,1,7.19763888888889,0.146251664318932,0.0716429494558195,11.3021639103408,0.0647671874472085,0.0667309863325934,1,"HR","Ebola",0.0682568439571865,2.68847568343331,3.74114235009998
"7",4.38535447604954,2.728,1.54066666666667,1.15466666666667,0.386,0.250540891389009,2.59067357512953,6.47119444444444,0.0596489571305314,0.0589777951791732,13.1001419104896,0.108307115872859,0.214227198823354,1,"HR","Ebola",0.038716328730332,2.84468780938288,3.23068780938288
"8",2.75014640111476,1.14,0.539344262295082,0.517361111111111,0.0219831511839709,0.040759034110098,45.4893837389953,7.12789351851852,0.00308410207403602,0.0864582402564036,10.0749706880863,0,1.45253931874421,1,"HR","Ebola",0.00571824396705767,2.21080213881968,2.23278529000365
"9",4.00628057587892,2.35466666666667,1.28,0.901262063845583,0.378737936154417,0.295889012620638,2.64034812607809,7.20421925266023,0.0525716837413803,0.075161178146592,10.6756820030529,0.0232515021354791,0.562963348321356,1,"HR","Ebola",0.0410716279229534,2.72628057587892,3.10501851203334
"10",1.41663195565343,0.92018779342723,0.525337837837838,0.276679841897233,0.248657995940605,0.473329690021987,4.02158794941331,6.53590250329381,0.0380449365355881,0.070069349807564,13.1100538173937,0.0863651345928838,0.312147852556839,1,"HR","Ebola",0.072419943501827,0.891294117815591,1.1399521137562
"11",3.17146033141762,1.99933333333333,1.21733333333333,0.81104199066874,0.406291342664593,0.333755210294025,2.46128798472955,6.53483022291343,0.0621732055470993,0.0669451362953758,13.9101878933196,0.126533980926787,0.0410806298808529,1,"HR","Ebola",0.0510732794746161,1.95412699808429,2.36041834074888
"12",3.73760481271893,1.63466666666667,0.82988298829883,0.749748743718593,0.0801342445802369,0.0965608955842117,12.4790594238237,7.58031825795645,0.0105713562219009,0.0675188726779531,10.0642678041835,0.190302595617697,1.08083297305325,1,"HR","Ebola",0.0127383695905986,2.9077218244201,2.98785606900034
"13",2.71187092829496,1.458,0.789325842696629,0.630286493860846,0.159039348835783,0.201487573614017,6.28775210235898,7.14449749886312,0.0222603967404413,0.076099867734109,11.0510833285679,0.192180645972692,0.478119370157758,1,"HR","Ebola",0.0282017837708082,1.92254508559833,2.08158443443411
"14",1.81602133531123,1.13466666666667,0.732292917166867,0.396061269146608,0.336231648020258,0.459149119345697,2.97414001890669,7.1815280816922,0.0468189561045386,0.064094777199858,13.9675139382205,0.0817863718611704,0.213051965278458,1,"HR","Ebola",0.063934738418165,1.08372841814437,1.41996006616463
"15",3.81637422461063,2.37333333333333,1.212,0.930147058823529,0.281852941176471,0.232551931663755,3.54794949389544,7.09280024509804,0.0397378935592137,0.0732768337584086,13.7891338758942,0.116031598884036,0.378317285810524,1,"HR","Ebola",0.0327870408904403,2.60437422461063,2.8862271657871
"16",1.23502668365836,0.81733746130031,0.397142857142857,0.299180327868852,0.0979625292740047,0.246668239179148,10.2079846999761,7.5457650273224,0.0129824516028915,0.0711003656537851,13.7538686976365,0.0893094227768287,0.283310015473131,1,"HR","Ebola",0.0326896263382161,0.837883826515504,0.935846355789509
"17",1.9890161966905,1.21666666666667,0.711442786069652,0.481561822125813,0.229880963943838,0.323119396872108,4.35007746115206,7.07727765726681,0.0324815522403308,0.0471556509503998,11.5587945677522,0.000152462710677797,0.543718580460836,1,"HR","Ebola",0.0456558881140315,1.27757341062085,1.50745437456469
"18",2.7688456363976,1.526,0.758020164986251,0.64922711058264,0.108793054403611,0.143522638880701,9.19176325622865,6.48057867617915,0.01678755244551,0.0755481981188686,11.4578624764986,0.124098987205777,0.573434312125463,1,"HR","Ebola",0.0221465776518155,2.01082547141135,2.11961852581496
