"output","parameter","coef","bias","stderr","CImin","CImax"
"R_0","gamma",0.00538996752723877,-0.00168073555514302,0.0141937230740275,-0.0282445552300733,0.0440751635049843
"R_0","prob_CT",-0.00969917383065189,0.000756024706301846,0.0145269700208145,-0.0459922761127643,0.0302368082935584
"R_0","CT_delay",0.0170258881301835,-0.0014967230452779,0.0129511773375331,-0.00583486559548885,0.0489573815959192
"R_0","epsilon",0.00359737237125809,-0.000849345119127849,0.0154902092355821,-0.0342488973807573,0.051371523308299
"R_0","riskprofile",-0.0136584726900307,-2.5785829223508e-05,0.0122897831013159,-0.0410539505041135,0.0171191243976964
"R_0","R_0_mean",0.995429658748386,-1.44999797342393e-05,0.000117660714692099,0.995135378453841,0.995688809019328
"R_0","dispersion",-0.00964866925915711,0.00265026460068157,0.014299480316211,-0.0444585988857606,0.0238420923147144
"R_0","T_inc_stretch",0.00063643625140605,0.00221240934886139,0.0131862263682355,-0.0398376832786936,0.0349550076060063
"R_0","pi_t_triangle_center",-0.00274654498007039,0.00131853734166475,0.0145958149029009,-0.0343951861280965,0.033752342071345
"R_0","T_lat_offset",-0.0109249535221523,0.00123266455258132,0.0123167553423959,-0.0429402204696953,0.0294097017746707
"R_0","d_inf",-0.0157583335253545,0.000658105715349706,0.0151487112353839,-0.0484167697493526,0.0290429870051827
"R_hsb","gamma",-0.880358214201447,3.49328123803172e-05,0.00296182627320745,-0.887623340143825,-0.873439494996064
"R_hsb","prob_CT",0.00583550737042639,0.00141764478683588,0.0134137957772515,-0.0219331620065771,0.0487439051376457
"R_hsb","CT_delay",-0.0135394093735047,-0.000804553563928813,0.0131232527371472,-0.039342312959346,0.0194434844859151
"R_hsb","epsilon",-0.0175071531989677,-4.44638659292569e-05,0.0144752056910708,-0.0558221401691325,0.0139158400195287
"R_hsb","riskprofile",0.0131150283885039,0.00118677443024,0.0150383478352584,-0.019920956068545,0.0490112730638929
"R_hsb","R_0_mean",0.977641919720797,1.20360234278083e-05,0.000595939183785384,0.976193194359641,0.978910446921602
"R_hsb","dispersion",-0.0110045069818369,0.00312744554491434,0.0135866522817333,-0.0469968026808086,0.0194729026065293
"R_hsb","T_inc_stretch",0.0103457295765496,0.00194103561045597,0.0153365005811358,-0.0263355137910166,0.0430694527474925
"R_hsb","pi_t_triangle_center",-0.257649543476173,0.000344195370944711,0.0136241030743554,-0.287348654441615,-0.227629406813183
"R_hsb","T_lat_offset",-0.40817679457229,-0.00146467997523758,0.0106866728055335,-0.429911186014798,-0.374867029547659
"R_hsb","d_inf",0.065233899565132,-0.00177998633145379,0.0137046906795413,0.0351727012867344,0.0958115881591416
"R_s","gamma",-0.639933311040662,-0.000282262473195294,0.00776097103716484,-0.656265842541819,-0.619844952113856
"R_s","prob_CT",-0.66612726639125,0.00115040658111321,0.00766952477372419,-0.686024595545323,-0.646340091576139
"R_s","CT_delay",0.0536530787006996,0.00087170240835692,0.0151819458960676,0.0146126268757019,0.0930444585724261
"R_s","epsilon",0.364931920471841,4.40383917431619e-05,0.0110107024739989,0.341267721738463,0.397359640179084
"R_s","riskprofile",0.00449100686584104,-0.00131367792472505,0.0152262831744226,-0.0508428325517594,0.0385968861752428
"R_s","R_0_mean",0.957497011277529,-0.000327667153373068,0.00189113540574967,0.95394749289464,0.962935815367825
"R_s","dispersion",-0.00307115573898287,-0.000735288821437175,0.014400427545879,-0.0397618798194112,0.031663625588761
"R_s","T_inc_stretch",-0.0422660211708,0.000356343294405828,0.013663782890646,-0.0795064365068422,-0.00910417686710076
"R_s","pi_t_triangle_center",-0.0760759683463641,-0.000970057007308386,0.0161350167387083,-0.112630469593888,-0.0390302789071004
"R_s","T_lat_offset",-0.0953576615562147,-4.06961173883558e-06,0.0140262043447139,-0.132298278577363,-0.0588269508225733
"R_s","d_inf",-0.0551605403121689,-0.00320084453956146,0.0133130733190037,-0.0911752405531004,-0.0203502874928208
"R_q","gamma",-0.70864006012354,-0.000695868903842545,0.00614591334740718,-0.724605631031523,-0.697420680928755
"R_q","prob_CT",-0.739879346834437,-0.000750870073001897,0.00555950639720459,-0.751674808732302,-0.723357360006942
"R_q","CT_delay",0.0916562777165709,-0.000657734411264696,0.0153480026860416,0.0559614153427982,0.136635334141281
"R_q","epsilon",-0.00187965388844668,-0.000793871381198872,0.0163704079763715,-0.0425969247275255,0.0413013115055725
"R_q","riskprofile",0.0023572878807122,-0.000140858589939458,0.0133420602012568,-0.0409360359385941,0.0309607626132109
"R_q","R_0_mean",0.930567540096812,0.000247047970395986,0.00220660821449749,0.926108236200854,0.935182576844135
"R_q","dispersion",0.000222469114792887,0.000990335653956634,0.0151051207604287,-0.0391962854509417,0.0342970625996613
"R_q","T_inc_stretch",-0.0876233814443608,-0.0025769871059805,0.0145485481810373,-0.11633423504707,-0.0329534742098683
"R_q","pi_t_triangle_center",-0.0254082372714104,0.00176821478277013,0.0136827392653319,-0.0592043550896959,0.00692515800841437
"R_q","T_lat_offset",-0.0221406981924728,0.00165439694520416,0.0149902026255318,-0.0620227655097308,0.0100353833648081
"R_q","d_inf",0.0229795265497095,0.00214121414522871,0.0120419873713378,-0.0108565977072985,0.0628236740179292
"Abs_Benefit","gamma",0.405192070860787,0.00248953637737226,0.0118734830231009,0.377382156531081,0.434106009899863
"Abs_Benefit","prob_CT",0.449916284666599,0.00182474755980905,0.0122351055911612,0.41690292691038,0.475542678429671
"Abs_Benefit","CT_delay",-0.0668106383952801,-0.000725727046682362,0.0156292815780968,-0.100468228335429,-0.0132254506594309
"Abs_Benefit","epsilon",0.457903412885081,0.00263822150723642,0.0113919584447562,0.426162497506444,0.489552780861906
"Abs_Benefit","riskprofile",-0.0025246614821587,-0.000839818876988019,0.0140614295508289,-0.0313805734661036,0.0364912616567125
"Abs_Benefit","R_0_mean",0.259342783075434,0.00239731515113129,0.0129396523648292,0.229450768671945,0.291222531011538
"Abs_Benefit","dispersion",0.00166942406656891,-0.000650807144008611,0.013782166359195,-0.0354869003050189,0.0346835892427879
"Abs_Benefit","T_inc_stretch",0.0738327308105254,0.000234808705789638,0.0145506782908377,0.0331023275681541,0.10620881431966
"Abs_Benefit","pi_t_triangle_center",-0.0488209729324694,-0.00185050885592151,0.0137236325733733,-0.0800536694164469,-0.00395723483809379
"Abs_Benefit","T_lat_offset",-0.0856571043288095,0.00201294301666892,0.0149951715908968,-0.1275543754241,-0.040487167996435
"Abs_Benefit","d_inf",-0.107043840261355,-0.00145152751016196,0.0131024209521392,-0.13726197087377,-0.0786691400487629
"Abs_Benefit_per_Qday","gamma",0.409270721943384,0.000127938595959609,0.0117540283949432,0.378849253002508,0.438225102703485
"Abs_Benefit_per_Qday","prob_CT",0.380413208331082,-0.000559379004248628,0.0122227558767534,0.354821163896992,0.406595279694078
"Abs_Benefit_per_Qday","CT_delay",0.0176621426528457,-0.000792106599574956,0.0154174169126772,-0.0167057324863197,0.0513707757137872
"Abs_Benefit_per_Qday","epsilon",0.435536443227003,0.00192973681820985,0.0125008290818962,0.397819304869119,0.456956105385518
"Abs_Benefit_per_Qday","riskprofile",0.000389094956239573,0.00243899220809852,0.0153894699010203,-0.0413915577685932,0.0409559204793194
"Abs_Benefit_per_Qday","R_0_mean",0.236773487170086,0.000611405374788793,0.015414498226758,0.197017172317546,0.278797206116634
"Abs_Benefit_per_Qday","dispersion",0.00404691108766628,-0.000353815978920777,0.0129091698723392,-0.0286770939909301,0.0310724230008005
